k,H_level,h_level,ell,mode,source,solver,coarse_nodes,coarse_elements,fine_nodes,fine_elements,H,h,kH,kh,source_l2,fem_energy_rel,fem_l2_rel,lod_energy_rel,lod_l2_rel,exact_energy_norm,exact_l2_norm,fem_exact_energy_rel,fem_exact_l2_rel,lod_exact_energy_rel,lod_exact_l2_rel,fine_exact_energy_rel,fine_exact_l2_rel,lod_energy_over_Hf,inf_sup,petrov_residual,corrector_residual,constraint_residual,corrector_threads,symbolic_analyses,symbolic_reuses,factorization_reuses,schur_residual,schur_rcond,direct_fallbacks,mesh_interp_ms,operators_ms,correctors_ms,basis_factor_ms,build_total_ms,load_ms,lod_solve_ms,coarse_fem_ms,reference_ms,total_ms
32,11,17,5,two-sided,manufactured,saddle,2113,4096,131585,262144,0.03125,0.00390625,1,0.125,91.200025975818818,0.43086009168285933,0.4053285469067231,0.0083858837963248813,0.001762356672280858,18.496701646003558,0.40634920634918487,0.43716688126793829,0.41183813168628436,0.024315430125940656,0.0080174633376984966,0.022716089819742297,0.0074817862507819194,0.054320967853860133,nan,1.9562575751419973e-13,2.6857212600141103e-15,6.1489225976666244e-16,32,3962,134,0,0,1,0,823.713842,222.60335599999999,20934.430006999999,8739.2247520000001,30722.810105,62.22278,75.644456000000005,13.108438,3630.0778310000001,34989.892546000003
