schema_version,case,method,kappa,run_id,reference_epoch,iteration,action,stop_reason,N_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,0,InitializeReferenceEpoch,initialized fixed reference epoch and ambient shadow,81,1089,1089,2,2.8284271247461903,,0.25,0,0,0,,,0,0,0,0,0,0,0,0,0.051236521,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,1,AcceptCoarse,coarse resolution recorded for posterior convergence diagnostics; ambient-ratio gate accepted,81,1089,1089,2,2.8284271247461903,,0.25,0,0,0,,,0,0,0,0.0047561640000000002,0,0,0,0,0.056014234000000003,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,2,AcceptLocalization,reference localization certificate accepted,81,1089,1089,2,2.8284271247461903,,0.25,0,0.078629935379318575,0,,,0,128,0,0,0.044949232999999998,0.99993819399999995,0,0,1.100926241,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,3,FormCoarseMarking,formed reference-residual coarse marking,81,1089,1089,2,2.8284271247461903,,0.25,0.10996785303694985,0.078629935379318575,0.054547927605190463,0.19008707042677203,0.12503591966616387,27,0,0,0,0,0,0.00018603900000000001,0.142022703,1.243161703,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,4,RefineCoarse,coarse mesh refined while preserving the reference epoch,97,1089,1345,2,2.8284271247461903,,0.25,0.10996785303694985,0.078629935379318575,0.054547927605190463,,,27,0,512,0.117716928,0,0,0,0,1.3609126010000001,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,5,AcceptLocalization,reference localization certificate accepted,97,1089,1345,2,2.8284271247461903,,0.25,0.10996785303694985,0.09752248896088378,0.054547927605190463,,,0,160,0,0,0.051752419000000001,1.4534076970000001,0,0,2.8661040369999999,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,6,FormCoarseMarking,formed reference-residual coarse marking,97,1089,1345,2,2.8284271247461903,,0.25,0.071322158850055967,0.09752248896088378,0.035458579165232235,0.095773869950892987,0.045932471429743466,26,0,0,0,0,0,0.00023278900000000001,0.14260699099999999,3.008975677,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,7,RefineCoarse,coarse mesh refined while preserving the reference epoch,116,1089,1649,2,2.8284271247461903,,0.25,0.071322158850055967,0.09752248896088378,0.035458579165232235,,,26,0,608,0.15679563199999999,0,0,0,0,3.1658061389999999,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,8,AcceptLocalization,reference localization certificate accepted,116,1089,1649,2,2.8284271247461903,,0.25,0.071322158850055967,0.11399019932899207,0.035458579165232235,,,0,198,0,0,0.060789017000000001,2.258568769,0,0,5.4852018840000003,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,9,FormCoarseMarking,formed reference-residual coarse marking,116,1089,1649,2,2.8284271247461903,,0.25,0.038202553526768157,0.11399019932899207,0.019030290866111917,0.048953494072121462,0.016557167300551255,23,0,0,0,0,0,0.00023023,0.141168396,5.6266396900000002,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,10,RefineCoarse,coarse mesh refined while preserving the reference epoch,133,1089,1921,2,2.8284271247461903,,0.25,0.038202553526768157,0.11399019932899207,0.019030290866111917,,,23,0,544,0.18262947099999999,0,0,0,0,5.8093111909999999,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,11,AcceptLocalization,reference localization certificate accepted,133,1089,1921,2,2.8284271247461903,,0.25,0.038202553526768157,0.12965059635041179,0.019030290866111917,,,0,232,0,0,0.057912186999999997,3.077022221,0,0,8.9442889789999995,260.6484375
2,R2a,PALOD,16,R2a_PALOD_k16_r0_5924158430608d04,0,12,Complete,practical reference tolerance reached,133,1089,1921,2,2.8284271247461903,,0.25,0.015578284650579427,0.12965059635041179,0.0077747300109557984,0.018906576201693778,0.0039669450926835895,0,0,0,0,0,0,0.00024774900000000002,0.13868561500000001,9.0832665020000007,260.6484375
